ASSESSID;TSYEAR;PT_AVAIL;SSB;R;TOTAL;F;CPUE;CATCH_LANDINGS
WGBFAS-CODBA2532-1964-2007-JENNINGS;1988;5;299235;128168;462354;0.8401;;194787
WGBFAS-CODBA2532-1964-2007-JENNINGS;1989;5;240203;82818;352763;11.483;;179178
WGBFAS-CODBA2532-1964-2007-JENNINGS;1990;5;215801;139198;271296;12.451;;153546
WGBFAS-CODBA2532-1964-2007-JENNINGS;1991;5;151173;182787;192718;14.046;;122517
WGBFAS-CODBA2532-1964-2007-JENNINGS;1992;5;92482;127033;133388;11.232;;54882
WGBFAS-CODBA2532-1964-2007-JENNINGS;1993;5;113098;119350;173239;0.4482;;45188
WGBFAS-CODBA2532-1964-2007-JENNINGS;1994;5;192987;115321;267544;0.6939;;93380
WGBFAS-CODBA2532-1964-2007-JENNINGS;1995;5;240468;87785;314734;0.7883;;107712
WGBFAS-CODBA2532-1964-2007-JENNINGS;1996;5;167132;149310;227676;0.963;;121877
WGBFAS-CODBA2532-1964-2007-JENNINGS;1997;5;143537;152602;203651;0.9594;;88600
WGBFAS-CODBA2532-1964-2007-JENNINGS;1998;5;110992;174997;177331;1.001;;67429
WGBFAS-CODBA2532-1964-2007-JENNINGS;1999;5;89234;135778;179266;10.127;;72989
WGBFAS-CODBA2532-1964-2007-JENNINGS;2000;5;114887;122325;213725;11.271;;89168
WGBFAS-CODBA2532-1964-2007-JENNINGS;2001;5;103901;108062;170783;12.907;;91325
WGBFAS-CODBA2532-1964-2007-JENNINGS;2002;5;82827;89799;140349;11.365;;67740
WGBFAS-CODBA2532-1964-2007-JENNINGS;2003;5;80685;172901;135440;0.9254;;71386
WGBFAS-CODBA2532-1964-2007-JENNINGS;2004;5;78648;168071;125877;13.783;;67768
WGBFAS-CODBA2532-1964-2007-JENNINGS;2005;5;70762;129685;155392;0.9713;;55254
WGBFAS-CODBA2532-1964-2007-JENNINGS;2006;5;81195;;174203;0.9777;;65532
WGBFAS-CODBA2532-1964-2007-JENNINGS;2007;5;;;;;;54076
WGBFAS-CODKAT-1970-2006-MINTO;1970;6;;37064;;;;
WGBFAS-CODKAT-1970-2006-MINTO;1971;6;35149;23088;47841;0.5108;;15732
WGBFAS-CODKAT-1970-2006-MINTO;1972;6;42823;15951;51682;0.4454;;17442
WGBFAS-CODKAT-1970-2006-MINTO;1973;6;49301;31119;56919;0.5608;;18837
WGBFAS-CODKAT-1970-2006-MINTO;1974;6;32590;26863;40648;10.428;;21880
WGBFAS-CODKAT-1970-2006-MINTO;1975;6;25285;10944;34108;0.7555;;15485
WGBFAS-CODKAT-1970-2006-MINTO;1976;6;29758;29789;38896;0.8276;;16275
WGBFAS-CODKAT-1970-2006-MINTO;1977;6;30731;23241;37623;0.9827;;20119
WGBFAS-CODKAT-1970-2006-MINTO;1978;6;24342;10804;32552;0.6824;;13390
WGBFAS-CODKAT-1970-2006-MINTO;1979;6;24241;14507;32150;0.6954;;14830
WGBFAS-CODKAT-1970-2006-MINTO;1980;6;24042;17069;29390;0.7315;;13509
WGBFAS-CODKAT-1970-2006-MINTO;1981;6;20391;20626;25049;10.615;;15337
WGBFAS-CODKAT-1970-2006-MINTO;1982;6;14812;20743;20021;14.112;;12465
WGBFAS-CODKAT-1970-2006-MINTO;1983;6;14614;11388;20694;10.932;;12828
WGBFAS-CODKAT-1970-2006-MINTO;1984;6;14983;8861;20802;1.096;;11886
WGBFAS-CODKAT-1970-2006-MINTO;1985;6;14386;17915;18723;13.583;;12706
WGBFAS-CODKAT-1970-2006-MINTO;1986;6;11661;5723;15088;11.237;;9096
WGBFAS-CODKAT-1970-2006-MINTO;1987;6;9527;7787;13248;12.548;;11491
WGBFAS-CODKAT-1970-2006-MINTO;1988;6;7149;3398;9468;0.9427;;5527
WGBFAS-CODKAT-1970-2006-MINTO;1989;6;8938;15233;11325;11.468;;8590
WGBFAS-CODKAT-1970-2006-MINTO;1990;6;6085;7748;8571;13.907;;5936
WGBFAS-CODKAT-1970-2006-MINTO;1991;6;6710;13450;9921;14.116;;6834
