ASSESSID;STOCKID;STOCKLONG;TSYEAR;SSB;Fm;SSBLIM;FLIM;comments;SSB/SSBLIM;F/FLIM
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2001;5.64E+04;5.70E-01;21000;0.9;;2.685714286;0.633333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2002;5.83E+04;8.00E-01;21000;0.9;;2.776190476;0.888888889
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2003;4.41E+04;7.30E-01;21000;0.9;;2.1;0.811111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2004;2.62E+04;6.40E-01;21000;0.9;;1.247619048;0.711111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2005;2.12E+04;7.00E-01;21000;0.9;;1.00952381;0.777777778
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2006;1.68E+04;6.50E-01;21000;0.9;;0.8;0.722222222
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2007;1.47E+04;5.40E-01;21000;0.9;;0.7;0.6
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2008;1.80E+04;5.50E-01;21000;0.9;;0.857142857;0.611111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2009;1.92E+04;5.80E-01;21000;0.9;;0.914285714;0.644444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2010;2.21E+04;7.30E-01;21000;0.9;;1.052380952;0.811111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2011;2.01E+04;5.50E-01;21000;0.9;;0.957142857;0.611111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2012;1.75E+04;6.50E-01;21000;0.9;;0.833333333;0.722222222
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2013;1.63E+04;4.30E-01;21000;0.9;;0.776190476;0.477777778
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2014;1.76E+04;4.10E-01;21000;0.9;;0.838095238;0.455555556
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2015;1.83E+04;5.40E-01;21000;0.9;;0.871428571;0.6
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2016;2.37E+04;4.40E-01;21000;0.9;;1.128571429;0.488888889
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2017;2.79E+04;;21000;0.9;;1.328571429;
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2018;3.50E+04;;21000;0.9;;1.666666667;
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1952;;;125000;0.74;;;
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1953;;;125000;0.74;;;
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1954;;;125000;0.74;;;
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1955;9.48E+05;2.90E-01;125000;0.74;;7.584;0.391891892
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1956;8.01E+05;2.90E-01;125000;0.74;;6.408;0.391891892
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1957;7.81E+05;3.10E-01;125000;0.74;;6.248;0.418918919
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1958;8.81E+05;3.50E-01;125000;0.74;;7.048;0.472972973
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1959;8.59E+05;3.20E-01;125000;0.74;;6.872;0.432432432
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1960;7.12E+05;3.70E-01;125000;0.74;;5.696;0.5
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1961;4.69E+05;3.50E-01;125000;0.74;;3.752;0.472972973
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1962;5.71E+05;3.80E-01;125000;0.74;;4.568;0.513513514
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1963;5.09E+05;4.60E-01;125000;0.74;;4.072;0.621621622
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1964;4.52E+05;5.50E-01;125000;0.74;;3.616;0.743243243
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1965;3.18E+05;5.70E-01;125000;0.74;;2.544;0.77027027
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1966;2.78E+05;5.90E-01;125000;0.74;;2.224;0.797297297
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1967;2.57E+05;5.60E-01;125000;0.74;;2.056;0.756756757
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1968;2.22E+05;7.20E-01;125000;0.74;;1.776;0.972972973
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1969;3.14E+05;5.60E-01;125000;0.74;;2.512;0.756756757
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1970;3.31E+05;6.10E-01;125000;0.74;;2.648;0.824324324
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1971;2.43E+05;6.80E-01;125000;0.74;;1.944;0.918918919
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1972;2.22E+05;6.90E-01;125000;0.74;;1.776;0.932432432
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1973;2.46E+05;7.00E-01;125000;0.74;;1.968;0.945945946
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1974;1.87E+05;7.60E-01;125000;0.74;;1.496;1.027027027
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1975;1.69E+05;8.10E-01;125000;0.74;;1.352;1.094594595
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1976;1.39E+05;7.40E-01;125000;0.74;;1.112;1
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1977;2.00E+05;5.90E-01;125000;0.74;;1.6;0.797297297
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1978;2.13E+05;4.70E-01;125000;0.74;;1.704;0.635135135
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1979;3.05E+05;4.40E-01;125000;0.74;;2.44;0.594594595
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1980;3.58E+05;4.90E-01;125000;0.74;;2.864;0.662162162
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1981;2.65E+05;6.60E-01;125000;0.74;;2.12;0.891891892
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1982;1.69E+05;7.30E-01;125000;0.74;;1.352;0.986486486
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1983;1.32E+05;7.10E-01;125000;0.74;;1.056;0.959459459
NWWG-CODICE-1952-2018-ICESIMP2018;CODICE;Atlantic cod Iceland Grounds;1984;1.43E+05;6.40E-01;125000;0.74;;1.144;0.864864865
