ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2002;1.29E+05;7.43E+04;;0.934240363;3.6;0.934240363;3.6;1.29E+05;8.24E+04;;9.86E+07;7.43E+04;6.77E+04;;1.08E+00;;;;;3.633333333;;;0.497901125;;0.934240363;;3.6
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2003;1.22E+05;7.89E+04;5.82E-01;0.866213152;3.533333333;0.866213152;3.533333333;1.22E+05;7.64E+04;;1.35E+08;7.89E+04;6.95E+04;;1.06E+00;5.82E-01;;;;3.176666667;;;0.528726767;;0.866213152;;3.533333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2004;1.12E+05;7.49E+04;1.01E+00;0.799319728;4.066666667;0.799319728;4.066666667;1.12E+05;7.05E+04;;1.24E+08;7.49E+04;6.86E+04;;1.22E+00;1.01E+00;;;;4.833333333;;;0.501921861;;0.799319728;;4.066666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2005;1.04E+05;6.37E+04;8.62E-01;0.70521542;3.333333333;0.70521542;3.333333333;1.04E+05;6.22E+04;;1.37E+08;6.37E+04;5.50E+04;;1.00E+00;8.62E-01;;;;3.176666667;;;0.426868125;;0.70521542;;3.333333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2006;1.28E+05;7.66E+04;6.73E-01;0.807256236;3.02;0.807256236;3.02;1.28E+05;7.12E+04;;1.53E+08;7.66E+04;6.55E+04;;9.06E-01;6.73E-01;;;;2.6;;;0.513313946;;0.807256236;;3.02
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2007;1.26E+05;6.37E+04;5.21E-01;0.891156463;2.57;0.891156463;2.57;1.26E+05;7.86E+04;;1.40E+08;6.37E+04;5.08E+04;;7.71E-01;5.21E-01;;;;1.8;;;0.426868125;;0.891156463;;2.57
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2008;1.55E+05;5.57E+04;3.14E-01;1.130385488;1.84;1.130385488;1.84;1.55E+05;9.97E+04;;1.52E+08;5.57E+04;4.22E+04;;5.52E-01;3.14E-01;;;;0.886666667;;;0.373258313;;1.130385488;;1.84
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2009;1.93E+05;6.07E+04;2.37E-01;1.371882086;1.56;1.371882086;1.56;1.93E+05;1.21E+05;;1.83E+08;6.07E+04;4.84E+04;;4.68E-01;2.37E-01;;;;0.876666667;;;0.406764446;;1.371882086;;1.56
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2010;2.03E+05;6.09E+04;2.22E-01;1.587301587;1.406666667;1.587301587;1.406666667;2.03E+05;1.40E+05;;2.09E+08;6.09E+04;5.03E+04;;4.22E-01;2.22E-01;;;;0.943333333;;;0.408104691;;1.587301587;;1.406666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2011;1.98E+05;6.22E+04;2.30E-01;1.496598639;1.306666667;1.496598639;1.306666667;1.98E+05;1.32E+05;;2.54E+08;6.22E+04;5.04E+04;;3.92E-01;2.30E-01;;;;0.856666667;;;0.416816285;;1.496598639;;1.306666667
