ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2014;3.39E+05;9.70E+04;0.286135693;6.022222222;0.821428571;6.022222222;0.821428571;3.39E+05;2.71E+05;;2.17E+08;9.70E+04;8.99E+04;;2.30E-01;0.286135693;;;;0.821428571;;;1.571041017;;6.022222222;;0.821428571
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2015;3.76E+05;1.01E+05;0.268617021;7;0.785714286;7;0.785714286;3.76E+05;3.15E+05;;2.45E+08;1.01E+05;9.37E+04;;2.20E-01;0.268617021;;;;0.785714286;;;1.635826214;;7;;0.785714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2016;3.91E+05;1.19E+05;0.304347826;7.711111111;0.821428571;7.711111111;0.821428571;3.91E+05;3.47E+05;;5.94E+08;1.19E+05;1.09E+05;;2.30E-01;0.304347826;;;;0.821428571;;;1.927359598;;7.711111111;;0.821428571
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2017;3.72E+05;1.10E+05;0.295698925;7.222222222;0.892857143;7.222222222;0.892857143;3.72E+05;3.25E+05;;4.93E+08;1.10E+05;1.05E+05;;2.50E-01;0.295698925;;;;0.892857143;;;1.781592906;;7.222222222;;0.892857143
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2018;;;;6.822222222;;6.822222222;;;3.07E+05;;3.04E+08;;;;;;;;;;;;;;6.822222222;;
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1982;5.17E+04;1.76E+04;0.340425532;3.702702703;1.44;3.702702703;1.44;5.17E+04;4.11E+04;;9.84E+07;1.76E+04;1.76E+04;;3.60E-01;0.340425532;;;;1.44;;;1.242889089;;3.702702703;;1.44
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1983;5.47E+04;2.29E+04;0.418647166;4.126126126;1.768;4.126126126;1.768;5.47E+04;4.58E+04;;8.15E+07;2.29E+04;2.29E+04;;4.42E-01;0.418647166;;;;1.768;;;1.61716819;;4.126126126;;1.768
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1984;5.32E+04;2.22E+04;0.417293233;3.873873874;1.8;3.873873874;1.8;5.32E+04;4.30E+04;;6.95E+07;2.22E+04;2.22E+04;;4.50E-01;0.417293233;;;;1.8;;;1.567735101;;3.873873874;;1.8
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1985;5.02E+04;1.89E+04;0.376494024;3.882882883;1.676;3.882882883;1.676;5.02E+04;4.31E+04;;4.41E+07;1.89E+04;1.89E+04;;4.19E-01;0.376494024;;;;1.676;;;1.334693397;;3.882882883;;1.676
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1986;4.64E+04;1.72E+04;0.370689655;3.603603604;1.78;3.603603604;1.78;4.64E+04;4.00E+04;;4.10E+07;1.72E+04;1.72E+04;;4.45E-01;0.370689655;;;;1.78;;;1.21464161;;3.603603604;;1.78
